Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
2179.6875,0.01505423719,2179.6875,0.01874791361,2179.6875,0.01771886167,2179.6875,0.9305206578,2179.6875,0.03568294276,2179.6875,0.03867392423
2203.125,0.01788182045,2203.125,0.004719084025,2203.125,0.02311893769,2203.125,2.407495099,2203.125,0.02683362238,2203.125,0.04826580187
2226.5625,0.01314930322,2226.5625,0.02971360422,2226.5625,0.006917922341,2226.5625,3.125810663,2226.5625,0.02432130154,2226.5625,0.0203673037
2250,0.001904476982,2250,0.02131268102,2250,0.02304362171,2250,5.225245037,2250,0.01921309479,2250,0.0176373043
2273.4375,0.02739052836,2273.4375,0.01322096059,2273.4375,0.02239671593,2273.4375,3.564598981,2273.4375,0.05390328229,2273.4375,0.04717721844
2296.875,0.02102643069,2296.875,0.02288068488,2296.875,0.005428594243,2296.875,1.56016744,2296.875,0.08821848742,2296.875,0.03737651775
2320.3125,0.001464126393,2320.3125,0.04386128058,2320.3125,0.03386723342,2320.3125,1.944303732,2320.3125,0.1007993981,2320.3125,0.03631241059
2343.75,0.009837008592,2343.75,0.02428433396,2343.75,0.03062753005,2343.75,3.787780215,2343.75,0.05808508522,2343.75,0.07070298892
2367.1875,0.009596926247,2367.1875,0.02018823209,2367.1875,0.03250209375,2367.1875,2.581453849,2367.1875,0.06193742012,2367.1875,0.03201781163
2390.625,0.02606729015,2390.625,0.01679032779,2390.625,0.02602328921,2390.625,2.640087763,2390.625,0.03012377858,2390.625,0.02945246696
2414.0625,0.02829589601,2414.0625,0.02320563831,2414.0625,0.02521632975,2414.0625,4.336506084,2414.0625,0.03415502386,2414.0625,0.01254925593
2437.5,0.02444786626,2437.5,0.01418438669,2437.5,0.02226076918,2437.5,0.1573392672,2437.5,0.03226000384,2437.5,0.02603154206
2460.9375,0.01563792531,2460.9375,0.008965946493,2460.9375,0.02022713892,2460.9375,1.939046259,2460.9375,0.05541202003,2460.9375,0.0237543334
2484.375,0.01533912894,2484.375,0.008993006438,2484.375,0.03653096688,2484.375,2.056081664,2484.375,0.0243672964,2484.375,0.02273234542
2507.8125,0.01667872287,2507.8125,0.007940596391,2507.8125,0.03267308716,2507.8125,3.462218687,2507.8125,0.05805094347,2507.8125,0.02260944087
2531.25,0.02122776192,2531.25,0.00565378957,2531.25,0.003142242916,2531.25,2.389605171,2531.25,0.04588653553,2531.25,0.02124179267
2554.6875,0.008216037812,2554.6875,0.01466301906,2554.6875,0.03970833147,2554.6875,1.166726301,2554.6875,0.01577323719,2554.6875,0.02652462932
2578.125,0.01240402236,2578.125,0.01248817084,2578.125,0.03005921707,2578.125,2.000524718,2578.125,0.06632039049,2578.125,0.03171960338
2601.5625,0.003327056867,2601.5625,0.01698153088,2601.5625,0.01199936656,2601.5625,2.177327685,2601.5625,0.01535312315,2601.5625,0.01441894511
2625,0.005301433016,2625,0.01154397959,2625,0.007717589683,2625,6.185956982,2625,0.02796640454,2625,0.01710686787
2648.4375,0.004067236621,2648.4375,0.006870899717,2648.4375,0.01567717269,2648.4375,4.359254455,2648.4375,0.03673040439,2648.4375,0.01617668556
2671.875,0.008543223703,2671.875,0.006791259342,2671.875,0.0187757304,2671.875,2.237611959,2671.875,0.0249577384,2671.875,0.02340201893
2695.3125,0.01484908106,2695.3125,0.005793174266,2695.3125,0.02860451392,2695.3125,2.769415511,2695.3125,0.03208019135,2695.3125,0.009938263205
